WBSELEMENT,TASK,DESCRIPTION,VALID_TO,VALID_FROM,HDR_Material,HDR_VALID_TO,HDR_VALID_FROM,ITM_Material,ITM_VALID_TO,ITM_VALID_FROM,LABOR_TYPE_DESCRIPTION
R-010020122.0004,GAESPPINT,EPAS,20161030,20250331,,,,,,,
R-010020122.0004,GAEPAS,EMPLOYEE PROFILE,20161030,20250331,,,,,,,
R-010020122.0004,GAEMPPROF,EMPLOYEE DIRECTORY,20161030,20250331,,,,,,,
R-010020122.0004,GAEMPDIR,EMCLEGAL,20161030,20250331,,,,,,,
R-010020122.0004,GAEMCLGL,EINSTEIN,20161030,20250331,,,,,,,
R-010020122.0004,GAEINSTN,DSOP,20161030,20250331,,,,,,,
R-010020122.0004,GADSOP,CRISIS MANAGEMENT WEBSITE,20161030,20250331,,,,,,,
R-010020122.0004,GACRMGMTWB,CPI,20161030,20250331,,,,,,,
R-010020122.0004,GACPI,CORK WEBSITE,20161030,20250331,,,,,,,
R-010020122.0004,GACORKWB,CLOCKWISE,20161030,20250331,,,,,,,
R-010020122.0004,GACLKW,CLASSIC ORG CHART,20161030,20250331,,,,,,,
R-010020122.0004,GACLASSIC OR,BRIDGEWAY SUITE ECOUNSEL SECRETARIAT,20161030,20250331,,,,,,,
R-010020122.0004,GABRDGSUT,ATS,20161030,20250331,,,,,,,
R-010020122.0004,GAATS,ARCHIBUS,20161030,20250331,,,,,,,
R-010020122.0004,GAARCHIBUS,ADP JOBS,20161030,20250331,,,,,,,
R-010020122.0004,GAADPJBS,ACR,20161030,20250331,,,,,,,
R-010020122.0004,GAACR,ORACLE 11I APPLICATIONS SALES CREDITS,20161030,20250331,,,,,,,
R-010020122.0004,FMSALESCREDI,ORACLE 11I INCENTIVE COMPENSATION OIC,20161030,20250331,,,,,,,
R-010020122.0004,FMOIC,GET PAID,20161030,20250331,,,,,,,
R-010020122.0004,FMGETPAID,DMS,20161030,20250331,,,,,,,
R-010020122.0004,FMDMS,CMC,20161030,20250331,,,,,,,
R-010020122.0004,FMCMC,ACE,20161030,20250331,,,,,,,
R-010020122.0004,FMACE,ENTERPRISE SEARCH SERVICES,20161030,20250331,,,,,,,
R-010020122.0004,ESS,EMC ME,20161030,20250331,,,,,,,
R-010020122.0004,EMCME,UNISYS B2B MERCATOR INTERFACES,20161030,20250331,,,,,,,
R-010020122.0004,EISUB2BINT,EIS SPRING INTERFACES,20161030,20250331,,,,,,,
R-010020122.0004,EISSPRNGINT,SUPPLYNET WEBMETHODS,20161030,20250331,,,,,,,
R-010020122.0004,EISSPINT,PARTNER AUTOMATION WEBMETHODS,20161030,20250331,,,,,,,
R-010020122.0004,MFGGAF,CYCLE COUNT,20161030,20250331,,,,,,,
R-010020122.0004,MFGCYCLCNT,CLARIIWEB PORTAL,20161030,20250331,,,,,,,
R-010020122.0004,MFGCLRWPTL,ADMIN WEB SITE,20161030,20250331,,,,,,,
R-010020122.0004,MFGADMWB,ACE OUTLOADER,20161030,20250331,,,,,,,
R-010020122.0004,MFGACE OUTLO,JOBS EMC,20161030,20250331,,,,,,,
R-010020122.0004,JOBS@EMC,IDS,20161030,20250331,,,,,,,
R-010020122.0004,IDS,IDENTITY PORTAL,20161030,20250331,,,,,,,
R-010020122.0004,IDENTITYPORT,SYNCPLICITY,20161030,20250331,,,,,,,
R-010020122.0004,IAMSYNC,PEOPLESOFT,20161030,20250331,,,,,,,
R-010020122.0004,GAPPLSFT,ORG PUBLISHER,20161030,20250331,,,,,,,
R-010020122.0004,GAORGPUB,MYPROFILE,20161030,20250331,,,,,,,
R-010020122.0004,GAMYPROF,MARS PURCHASE,20161030,20250331,,,,,,,
R-010020122.0004,GAMRSPRCHS,MARS HR ADMIN,20161030,20250331,,,,,,,
