"RECTY","CLID","INTCA","ORDNO","IOPER","INFTY","Pay Code Code","BEGDA","ENDDA","OBJPS","SPRPS","SEQNR","EXTRA","Pay Code Code","STDAZ","BEGUZ","ENDUZ","BETRG","WAERS","Pay Code Hours","ZEINH","VTKEN","BWGRL","AUFKZ","ENDOP","UFLD1","UFLD2","UFLD3","KEYPR","TRFST","PRAKN","PRAKZ","OTYPE","PLANS","VERSL","EXBEL","WTART","TDLANGU","TDSUBLA","TDTYPE","Actual Employee ID"
"P2010","00509387","","","INS","2010","1010","13 May 2022","13 May 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","IND_ADP_TO","26 May 2022","26 May 2022","","","","","IND_ADP_TO","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","IND_CMP_TO","23 May 2022","23 May 2022","","","","","IND_CMP_TO","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","IND_CMP_TO","24 May 2022","24 May 2022","","","","","IND_CMP_TO","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","IND_CMP_TO","25 May 2022","25 May 2022","","","","","IND_CMP_TO","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","IND_Covid","27 May 2022","27 May 2022","","","","","IND_Covid","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","[IND] Emergency Maternity Leave","12 May 2022","12 May 2022","","","","","[IND] Emergency Maternity Leave","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","[IND] Maternity leave","9 May 2022","9 May 2022","","","","","[IND] Maternity leave","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","[IND] Maternity Leave Extension","10 May 2022","10 May 2022","","","","","[IND] Maternity Leave Extension","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","00509387","","","INS","2010","[IND] Special Maternity Leave","11 May 2022","11 May 2022","","","","","[IND] Special Maternity Leave","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11608293","","","INS","2010","1010","13 June 2022","13 June 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11608293","","","INS","2010","1010","14 June 2022","14 June 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11608293","","","INS","2010","1010","15 June 2022","15 June 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11608293","","","INS","2010","1010","16 June 2022","16 June 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11608293","","","INS","2010","1010","17 June 2022","17 June 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","6 June 2022","6 June 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","7 June 2022","7 June 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","8 June 2022","8 June 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","9 June 2022","9 June 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","13 June 2022","13 June 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","14 June 2022","14 June 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","15 June 2022","15 June 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","16 June 2022","16 June 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","10 October 2022","10 October 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","11 October 2022","11 October 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","11701035","","","INS","2010","1010","12 October 2022","12 October 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","3 January 2022","3 January 2022","","","","","1010","","","","","","10.00","001","","","","","","","","","","","","","","","","","","","",""
"P2010","1553592","","","INS","2010","1010","4 January 2022","4 January 2022","","","","","1010","","","","","","9.00","001","","","","","","","","","","","","","","","","","","","",""
