employeeid,Start Time,Start Date,End Time,End Date,Time Off Unit,Time Off Type Project Code,Booking Reference ID
1478525,08:00:00,11/20/2024,16:00:00,11/20/2024,8.00,S.9607.0712,ABC123
1478525,,11/21/2024,,11/21/2024,4.50,S.9607.0712,ABC124
1478525,,11/22/2024,,11/22/2024,0.00,S.9607.0712,ABC125
1478526,,11/23/2024,,11/23/2024,7.75,S.9607.0713,ABC126
1478527,,11/24/2024,,11/24/2024,6.00,S.9607.0714,ABC127
999999,,11/25/2024,,11/25/2024,8.00,S.9607.0715,ABC128
1478528,,03/15/2025,,03/15/2025,8.00,S.9607.0716,ABC129
1478529,,11/26/2024,,11/26/2024,3.33,S.9607.0717,ABC130
1478530,,11/27/2024,,11/27/2024,-4.00,S.9607.0718,ABC131
1478531,,11/28/2024,,11/28/2024,8.00,,ABC132
,,11/29/2024,,11/29/2024,8.00,S.9607.0719,ABC133
1478532,09:00,11/30/2024,17:00,11/30/2024,8.00,S.9607.0720,ABC134
1478533,,12/01/2024,,12/01/2024,8.00,S.9607.0721,
